"agent_number","trial","eyes","legs","spots","arms","color","choices","dangerous","accuracy","rates","agent_types"
"1","1","0","0","0","1","1","1","0","0",NA,"both_good"
"1","2","1","1","0","0","0","1","0","0",NA,"both_good"
"1","3","0","1","1","0","0","1","0","0",NA,"both_good"
"1","4","0","0","0","0","0","0","0","1",NA,"both_good"
"1","5","1","0","0","0","0","0","0","1",NA,"both_good"
"1","6","0","1","1","0","1","0","0","1",NA,"both_good"
"1","7","0","1","0","1","0","1","0","0",NA,"both_good"
"1","8","1","0","1","1","0","1","1","1",NA,"both_good"
"1","9","1","0","0","0","1","1","0","0","0.52632956315125","both_good"
"1","10","0","1","0","0","1","0","0","1","0.139368065232917","both_good"
"1","11","0","0","1","1","1","0","0","1","0.526933918986335","both_good"
"1","12","0","0","1","0","1","0","0","1","0.0243537136543369","both_good"
"1","13","1","0","0","1","0","1","0","0","0.856967110318704","both_good"
"1","14","1","1","1","1","1","1","1","1","0.990900690260526","both_good"
"1","15","1","1","0","0","1","0","0","1","0.0546541914609563","both_good"
"1","16","1","0","1","1","1","1","1","1","0.975646286345663","both_good"
"1","17","0","0","0","1","0","0","0","1","0.166964823964778","both_good"
"1","18","0","1","1","1","0","0","0","1","0.473066081013665","both_good"
"1","19","0","0","1","0","0","0","0","1","0.036396678492108","both_good"
"1","20","0","1","0","1","1","1","0","0","0.166964823964778","both_good"
"1","21","1","1","1","1","0","1","1","1","0.993233021866012","both_good"
"1","22","1","1","0","1","0","0","0","1","0.527581906123989","both_good"
"1","23","0","0","1","1","0","1","0","0","0.860631934767083","both_good"
"1","24","1","1","1","0","1","1","1","1","0.967125085798793","both_good"
"1","25","1","1","0","1","1","0","0","1","0.86968369924818","both_good"
"1","26","1","1","1","0","0","1","1","1","0.975646286345663","both_good"
"1","27","1","0","1","0","0","1","1","1","0.978029335286363","both_good"
"1","28","1","0","1","0","1","1","1","1","0.975646286345663","both_good"
"1","29","0","1","1","1","1","1","0","0","0.836735928209633","both_good"
"1","30","0","1","0","0","0","1","0","0","0.143032889681297","both_good"
"1","31","1","0","0","1","1","1","0","0","0.553112820543055","both_good"
"1","32","0","0","0","0","1","0","0","1","0.149061659846083","both_good"
"2","1","0","0","1","0","1","0","0","1",NA,"both_good"
"2","2","0","1","1","1","0","0","0","1",NA,"both_good"
"2","3","1","0","1","0","0","1","1","1",NA,"both_good"
"2","4","1","0","1","1","1","1","1","1","0.975646286345663","both_good"
"2","5","1","1","1","0","0","1","1","1","0.945345808539044","both_good"
"2","6","0","0","0","0","1","0","0","1","0.15644650693902","both_good"
"2","7","0","1","0","1","1","0","0","1","0.00626478115083963","both_good"
"2","8","1","1","0","1","0","1","0","0","0.5","both_good"
"2","9","0","0","0","1","0","0","0","1","0.13031630075182","both_good"
"2","10","1","0","0","0","1","1","0","0","0.5","both_good"
"2","11","0","1","0","1","0","0","0","1","0.166964823964778","both_good"
"2","12","0","0","0","0","0","0","0","1","0.00676697813398763","both_good"
"2","13","0","1","0","0","0","0","0","1","0.00484690940082956","both_good"
"2","14","1","1","1","1","0","1","1","1","0.995517689476402","both_good"
